FLAG_NM,FLAG_VALUE,HLDY_AT,BOOK_TY_NM,EXAMIN_CO,NON_READ_RT,THIRTY_MNT_BELO_READ_RT,ONE_TIME_BELO_READ_RT,TWO_TIME_BELO_READ_RT,THREE_TIME_BELO_READ_RT,FOUR_TIME_BELO_READ_RT,FIVE_TIME_BELO_READ_RT,FIVE_TIME_ABOVE_READ_RT,AVRG_READ_MNT_VALUE
연령,고등2학년,N,종이책,364,51.2,10.3,19.1,12.9,4.7,0.9,0.8,0,25.1
연령,고등3학년,N,종이책,352,58,5.7,13.1,13.8,5.7,2,0.2,1.5,30.7
연령,초등4학년,N,전자책,380,62.4,10.8,10,12.6,2,1.4,0,0.8,22.4
연령,초등5학년,N,전자책,360,58.2,8.8,9.9,15.2,4.8,1.1,1.1,0.9,30.1
연령,초등6학년,N,전자책,376,52.5,8.1,13.9,14.5,7,3,0.6,0.5,33.5
연령,중등1학년,N,전자책,394,53.9,8.1,13.1,16.5,4,3,0.3,1.1,30.8
연령,중등2학년,N,전자책,357,55.2,7.2,11.5,17.6,4.3,3,0.7,0.6,30.2
연령,중등3학년,N,전자책,344,57.3,4.9,10.5,17.6,4.8,3,0.5,1.4,32.2
연령,고등1학년,N,전자책,392,59.5,5.2,14.5,12.9,5.5,1.4,0.2,0.8,25.4
연령,고등2학년,N,전자책,364,59.9,4.2,12.4,14.8,3.7,3.6,1.3,0.2,28.5
연령,고등3학년,N,전자책,352,57.3,3.4,10.4,16.1,9.8,2.6,0,0.4,31.3
연령,초등4학년,N,오디오북,380,78.8,7.8,5.1,5.5,1.9,0.6,0,0.3,11.4
연령,초등5학년,N,오디오북,360,80.2,5,4.8,7.4,1.7,0,0.3,0.6,13.6
연령,초등6학년,N,오디오북,376,85.1,5.3,3.2,5.3,0.6,0.3,0,0.3,7.5
연령,중등1학년,N,오디오북,394,90.6,2.9,3.1,2.1,1.2,0,0,0,4.3
연령,중등2학년,N,오디오북,357,93.5,1.6,1.9,2.4,0.3,0,0.2,0,3.4
연령,중등3학년,N,오디오북,344,89,1.4,3.6,4.4,0.8,0.2,0.2,0.3,8
